// General information: 
//  MT Manager version: 2020.3.0 
//  XDA version: 2020.3.0 build 5439 rev 106958 built on 2020-11-10
// Device information: 
//  DeviceId: 00B46A02
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,StatusWord,ClippingFlags,RSSI,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw,Mat[1][1],Mat[2][1],Mat[3][1],Mat[1][2],Mat[2][2],Mat[3][2],Mat[1][3],Mat[2][3],Mat[3][3]
04938,2,0,-58.0000,9.576315,-0.662752,-2.043832,0.028486,-0.024876,0.001632,-0.002976,0.010692,-0.007074,0.280170,0.666919,-0.583552,0.095762,-0.006631,-0.020443,1.000000,-0.000015,0.000053,-0.000035,0.999990,-0.004048,-0.001727,-0.000824,-0.463739,-0.198311,-0.093670,0.999993,-0.001635,0.003461,0.001663,0.999966,-0.008094,-0.003448,0.008099,0.999961
04939,2,0,-58.0000,9.624275,-0.700335,-2.110560,-0.035840,-0.012675,0.065074,-0.006219,0.013533,-0.006147,0.280450,0.669351,-0.586373,0.096241,-0.007007,-0.021112,1.000000,-0.000031,0.000068,-0.000031,0.999990,-0.004049,-0.001790,-0.000856,-0.463866,-0.205569,-0.097221,0.999992,-0.001697,0.003588,0.001726,0.999966,-0.008096,-0.003574,0.008102,0.999961
04940,2,0,-58.0000,9.548303,-0.712340,-2.085318,-0.035190,0.006825,-0.013464,-0.013792,0.017644,-0.004407,0.276435,0.667455,-0.590708,0.095481,-0.007127,-0.020861,1.000000,-0.000069,0.000088,-0.000022,0.999990,-0.004044,-0.001872,-0.000950,-0.463258,-0.214903,-0.108005,0.999991,-0.001885,0.003751,0.001915,0.999965,-0.008085,-0.003735,0.008092,0.999960
04941,2,0,-58.0000,9.592737,-0.677259,-2.124797,-0.050950,-0.039243,0.035658,-0.011803,0.014548,-0.013162,0.281653,0.659983,-0.587653,0.095925,-0.006780,-0.021255,1.000000,-0.000059,0.000073,-0.000066,0.999989,-0.004081,-0.001954,-0.001025,-0.467418,-0.224370,-0.116523,0.999990,-0.002034,0.003916,0.002066,0.999965,-0.008158,-0.003899,0.008166,0.999959
04942,2,0,-58.0000,9.571135,-0.692814,-2.102914,-0.042797,-0.016521,0.011098,-0.013844,0.016985,-0.011141,0.278016,0.676861,-0.590071,0.095709,-0.006935,-0.021037,1.000000,-0.000069,0.000085,-0.000056,0.999989,-0.004108,-0.002044,-0.001112,-0.470463,-0.234712,-0.126486,0.999989,-0.002208,0.004096,0.002241,0.999964,-0.008211,-0.004078,0.008220,0.999958
04943,2,0,-58.0000,9.617030,-0.674484,-2.096751,-0.022290,-0.030637,0.053270,-0.010485,0.012169,-0.011089,0.279804,0.682410,-0.589230,0.096169,-0.006751,-0.020973,1.000000,-0.000052,0.000061,-0.000055,0.999989,-0.004137,-0.002111,-0.001174,-0.473829,-0.242420,-0.133576,0.999988,-0.002331,0.004231,0.002366,0.999963,-0.008270,-0.004212,0.008280,0.999957
04944,2,0,-58.0000,9.596064,-0.698761,-2.052343,0.003995,0.008060,0.025237,-0.009284,0.011764,-0.009996,0.272366,0.672495,-0.584758,0.095959,-0.006993,-0.020529,1.000000,-0.000046,0.000059,-0.000050,0.999988,-0.004163,-0.002174,-0.001239,-0.476729,-0.249712,-0.140916,0.999987,-0.002459,0.004358,0.002496,0.999962,-0.008320,-0.004338,0.008331,0.999956
04945,2,0,-58.0000,9.555382,-0.655235,-2.059596,0.001502,-0.035332,-0.015987,-0.010337,0.025308,-0.007558,0.277833,0.665968,-0.582512,0.095551,-0.006557,-0.020608,1.000000,-0.000052,0.000127,-0.000038,0.999988,-0.004158,-0.002297,-0.001353,-0.476094,-0.263803,-0.153942,0.999986,-0.002687,0.004604,0.002725,0.999962,-0.008309,-0.004582,0.008322,0.999955
04946,2,0,-58.0000,9.596986,-0.696545,-2.048784,0.004362,0.007707,0.025237,-0.017633,0.015269,-0.010902,0.279212,0.670122,-0.591599,0.095968,-0.006972,-0.020495,1.000000,-0.000088,0.000076,-0.000055,0.999987,-0.004191,-0.002378,-0.001458,-0.479825,-0.273195,-0.165977,0.999984,-0.002897,0.004768,0.002937,0.999961,-0.008374,-0.004744,0.008388,0.999954
04947,2,0,-58.0000,9.598131,-0.703881,-2.024330,0.022688,0.023459,0.021763,-0.015102,0.020039,-0.006462,0.281783,0.661211,-0.586179,0.095979,-0.007043,-0.020252,1.000000,-0.000076,0.000100,-0.000032,0.999987,-0.004191,-0.002474,-0.001551,-0.479857,-0.284191,-0.176560,0.999983,-0.003082,0.004960,0.003123,0.999960,-0.008375,-0.004934,0.008390,0.999953
